--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5259a; boundsInParent: Rect(0, 0 - 171, 171); boundsInScreen: Rect(641, 411 - 812, 582); packageName: com.boco.apphall; className: android.widget.TextView; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_app_type_img; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5295b; boundsInParent: Rect(0, 0 - 144, 33); boundsInScreen: Rect(655, 592 - 799, 625); packageName: com.boco.apphall; className: android.widget.TextView; text: 电子运维系统; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_category; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5f7d2; boundsInParent: Rect(0, 0 - 237, 214); boundsInScreen: Rect(331, 411 - 568, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout22; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@51e18; boundsInParent: Rect(0, 0 - 171, 171); boundsInScreen: Rect(364, 411 - 535, 582); packageName: com.boco.apphall; className: android.widget.TextView; text: 1703; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_down_times_img; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@521d9; boundsInParent: Rect(0, 0 - 96, 33); boundsInScreen: Rect(401, 592 - 497, 625); packageName: com.boco.apphall; className: android.widget.TextView; text: 下载次数; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5259a; boundsInParent: Rect(0, 0 - 171, 171); boundsInScreen: Rect(641, 411 - 812, 582); packageName: com.boco.apphall; className: android.widget.TextView; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_app_type_img; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5295b; boundsInParent: Rect(0, 0 - 144, 33); boundsInScreen: Rect(655, 592 - 799, 625); packageName: com.boco.apphall; className: android.widget.TextView; text: 电子运维系统; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_category; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5f7d2; boundsInParent: Rect(0, 0 - 237, 214); boundsInScreen: Rect(331, 411 - 568, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout22; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@51e18; boundsInParent: Rect(0, 0 - 171, 171); boundsInScreen: Rect(364, 411 - 535, 582); packageName: com.boco.apphall; className: android.widget.TextView; text: 1703; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_down_times_img; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@521d9; boundsInParent: Rect(0, 0 - 96, 33); boundsInScreen: Rect(401, 592 - 497, 625); packageName: com.boco.apphall; className: android.widget.TextView; text: 下载次数; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5259a; boundsInParent: Rect(0, 0 - 171, 171); boundsInScreen: Rect(641, 411 - 812, 582); packageName: com.boco.apphall; className: android.widget.TextView; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_app_type_img; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5295b; boundsInParent: Rect(0, 0 - 144, 33); boundsInScreen: Rect(655, 592 - 799, 625); packageName: com.boco.apphall; className: android.widget.TextView; text: 电子运维系统; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_category; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5f7d2; boundsInParent: Rect(0, 0 - 237, 214); boundsInScreen: Rect(331, 411 - 568, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout22; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:16.295 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.195 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.215 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.235 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.245 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5259a; boundsInParent: Rect(0, 0 - 171, 171); boundsInScreen: Rect(641, 411 - 812, 582); packageName: com.boco.apphall; className: android.widget.TextView; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_app_type_img; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.245 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5295b; boundsInParent: Rect(0, 0 - 144, 33); boundsInScreen: Rect(655, 592 - 799, 625); packageName: com.boco.apphall; className: android.widget.TextView; text: 电子运维系统; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_category; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
05-19 17:36:18.245 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5e14c; boundsInParent: Rect(0, 0 - 872, 1); boundsInScreen: Rect(14, 645 - 886, 646); packageName: com.boco.apphall; className: android.view.View; text: null; contentDescription: null; viewIdResName: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.245 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5fb93; boundsInParent: Rect(0, 0 - 238, 214); boundsInScreen: Rect(608, 411 - 846, 625); packageName: com.boco.apphall; className: android.widget.LinearLayout; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_layout23; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
05-19 17:36:18.255 E/AccessibilityNodeInfoCache(29465): Disconneced node: android.view.accessibility.AccessibilityNodeInfo@5259a; boundsInParent: Rect(0, 0 - 171, 171); boundsInScreen: Rect(641, 411 - 812, 582); packageName: com.boco.apphall; className: android.widget.TextView; text: null; contentDescription: null; viewIdResName: com.boco.apphall:id/app_detail_app_type_img; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
