--------- beginning of /dev/log/system
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:435)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:293)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:267)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:250)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1294)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:911)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:131)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:611)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeysPlain(NioEventLoop.java:514)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:468)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:438)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.util.concurrent.SingleThreadEventExecutor$2.run(SingleThreadEventExecutor.java:140)
05-23 11:26:51.150 E/appium  ( 3010): 	at io.netty.util.concurrent.DefaultThreadFactory$DefaultRunnableDecorator.run(DefaultThreadFactory.java:144)
05-23 11:26:51.150 E/appium  ( 3010): 	at java.lang.Thread.run(Thread.java:841)
05-23 11:26:52.150 E/appium  ( 3010): Element not found: 
05-23 11:26:52.150 E/appium  ( 3010): io.appium.uiautomator2.common.exceptions.ElementNotFoundException: Could not find an element using supplied strategy. 
05-23 11:26:52.150 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.getXPathUiObject(FindElement.java:80)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.findElement(FindElement.java:153)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:102)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:56)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:202)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:193)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:44)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:435)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:293)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:267)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:250)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1294)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:911)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:131)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:611)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeysPlain(NioEventLoop.java:514)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:468)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:438)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.util.concurrent.SingleThreadEventExecutor$2.run(SingleThreadEventExecutor.java:140)
05-23 11:26:52.150 E/appium  ( 3010): 	at io.netty.util.concurrent.DefaultThreadFactory$DefaultRunnableDecorator.run(DefaultThreadFactory.java:144)
05-23 11:26:52.150 E/appium  ( 3010): 	at java.lang.Thread.run(Thread.java:841)
05-23 11:26:53.100 E/appium  ( 3010): Element not found: 
05-23 11:26:53.100 E/appium  ( 3010): io.appium.uiautomator2.common.exceptions.ElementNotFoundException: Could not find an element using supplied strategy. 
05-23 11:26:53.100 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.getXPathUiObject(FindElement.java:80)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.findElement(FindElement.java:153)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:102)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:56)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:202)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:193)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:44)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:435)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:293)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:267)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:250)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1294)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:911)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:131)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:611)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeysPlain(NioEventLoop.java:514)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:468)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:438)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.util.concurrent.SingleThreadEventExecutor$2.run(SingleThreadEventExecutor.java:140)
05-23 11:26:53.100 E/appium  ( 3010): 	at io.netty.util.concurrent.DefaultThreadFactory$DefaultRunnableDecorator.run(DefaultThreadFactory.java:144)
05-23 11:26:53.100 E/appium  ( 3010): 	at java.lang.Thread.run(Thread.java:841)
05-23 11:26:54.120 E/appium  ( 3010): Element not found: 
05-23 11:26:54.120 E/appium  ( 3010): io.appium.uiautomator2.common.exceptions.ElementNotFoundException: Could not find an element using supplied strategy. 
05-23 11:26:54.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.getXPathUiObject(FindElement.java:80)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.findElement(FindElement.java:153)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:102)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:56)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:202)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:193)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:44)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:435)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:293)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:267)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:250)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1294)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:911)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:131)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:611)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeysPlain(NioEventLoop.java:514)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:468)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:438)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.util.concurrent.SingleThreadEventExecutor$2.run(SingleThreadEventExecutor.java:140)
05-23 11:26:54.120 E/appium  ( 3010): 	at io.netty.util.concurrent.DefaultThreadFactory$DefaultRunnableDecorator.run(DefaultThreadFactory.java:144)
05-23 11:26:54.120 E/appium  ( 3010): 	at java.lang.Thread.run(Thread.java:841)
05-23 11:26:55.120 E/appium  ( 3010): Element not found: 
05-23 11:26:55.120 E/appium  ( 3010): io.appium.uiautomator2.common.exceptions.ElementNotFoundException: Could not find an element using supplied strategy. 
05-23 11:26:55.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.getXPathUiObject(FindElement.java:80)
05-23 11:26:55.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.findElement(FindElement.java:153)
05-23 11:26:55.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:102)
05-23 11:26:55.120 E/appium  ( 3010): 	at io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:56)
05-23 11:26:55.120 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:202)
05-23 11:26:55.120 E/appium  ( 3010): 	at io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:193)
